artists_id,album_id,track_id,track_uri,track_name,track_release_date,track_date_added,track_duration_ms,track_popularity,track_position,is_explicit,country,timestamp,stream_count
2iDVt6mFbtbDEZG5ax0dTi,4szhn3xPmOJklFAcqNvTnQ,4GfK1qOF3uBWidbPlTCQRL,spotify:track:4GfK1qOF3uBWidbPlTCQRL,Monokrom,2016-08-03,2024-10-31T12:37:43Z,214567,76,41,False,Indonesia,2024-11-01,374494193
2iDVt6mFbtbDEZG5ax0dTi,3R4IAF9ApqYeUQrv1ddyoR,32Pdf9eyXDEMoClEJW6yYP,spotify:track:32Pdf9eyXDEMoClEJW6yYP,Interaksi,2022-03-03,2024-10-31T12:37:43Z,170000,76,42,False,Indonesia,2024-11-01,277937379
51kyrUsAVqUBcoDEMFkX12,1DAuVHMlBvIjzWZALSUXbn,2dIBMHByUGcNPzmYBJ6OAj,spotify:track:2dIBMHByUGcNPzmYBJ6OAj,Evaluasi,2019-11-29,2024-10-31T12:37:43Z,194469,76,43,False,Indonesia,2024-11-01,309424514
5L1lO4eRHmJ7a0Q6csE5cT,2F84s5tvr9RSS6VI772mVb,3yDRcs0Y4pPzkvMbUfeF9H,spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),2024-10-03,2024-10-31T12:37:43Z,155757,89,44,False,Indonesia,2024-11-01,107590368
"3tMTXQyRrPmMyHv5SoC0TV, 6RoZip1Hn7ahR6MjzBKKLK",35UI6U9KndqP2jBoMz9tOn,4xmSDYn5n9Gu6mH6FSJDhf,spotify:track:4xmSDYn5n9Gu6mH6FSJDhf,Tak Di Tanganku,2023-03-16,2024-10-31T12:37:43Z,232383,75,45,False,Indonesia,2024-11-01,57789083
0kPb52ySN2k9P6wEZPTUzm,0jxUY7K5FdwJNl3SmnOZOl,1AoBdDIOp6RFjAbzcPbWi8,spotify:track:1AoBdDIOp6RFjAbzcPbWi8,Janji Setia,2021-12-17,2024-10-31T12:37:43Z,261000,75,46,False,Indonesia,2024-11-01,208795417
3DHOtJqv0Bw65ENlK4FiSF,2KZ89EkUZMZMuHuDdi3VNN,0qjuyXWrksQxIRntqz9ZJV,spotify:track:0qjuyXWrksQxIRntqz9ZJV,Tanpa Cinta,2014-04-14,2024-10-31T12:37:43Z,256386,73,47,False,Indonesia,2024-11-01,158690825
6FTLayBxjkQeanFdUusk1I,2HNKo2vMGhc9wON4NDfb04,3OTbh1VVrhebUzDor9r4pH,spotify:track:3OTbh1VVrhebUzDor9r4pH,Rumah Singgah,2023-02-02,2024-10-31T12:37:43Z,246730,74,48,False,Indonesia,2024-11-01,283538478
1v1khTmozNfxB2ET1Ep288,0lmWHPA0DAJY2xKscafErm,0fiKmieZ6xzoolzNOC3Fxi,spotify:track:0fiKmieZ6xzoolzNOC3Fxi,Sekuat Hatimu,2014-12-30,2024-10-31T12:37:43Z,283760,75,49,False,Indonesia,2024-11-01,140944544
5LcNPa8f8bRmZqELgoRFkN,7F3BUHlrZdaKrtSQ0LEpLm,654ZF6YNWjQS2NhwR3QnX7,spotify:track:654ZF6YNWjQS2NhwR3QnX7,Komang,2022-08-17,2024-10-31T12:37:43Z,222706,75,50,False,Indonesia,2024-11-01,382982446
